images,category
Chess_Data\roi_blanc\square_35.png,WK
Chess_Data\roi_blanc\square_36.png,WK
Chess_Data\roi_blanc\square_37.png,WK
Chess_Data\roi_blanc\square_38.png,WK
Chess_Data\roi_blanc\square_39.png,WK
Chess_Data\roi_blanc\square_40.png,WK
Chess_Data\roi_blanc\square_41.png,WK
Chess_Data\roi_blanc\square_42.png,WK
Chess_Data\roi_blanc\square_43.png,WK
Chess_Data\roi_blanc\square_44.png,WK
Chess_Data\roi_blanc\square_45.png,WK
Chess_Data\roi_blanc\square_46.png,WK
Chess_Data\roi_blanc\square_47.png,WK
Chess_Data\roi_blanc\square_48.png,WK
Chess_Data\roi_blanc\square_49.png,WK
Chess_Data\roi_blanc\square_50.png,WK
Chess_Data\roi_blanc\square_51.png,WK
Chess_Data\roi_blanc\square_52.png,WK
Chess_Data\roi_blanc\square_53.png,WK
Chess_Data\roi_blanc\square_54.png,WK
Chess_Data\roi_blanc\square_55.png,WK
Chess_Data\roi_blanc\square_56.png,WK
Chess_Data\roi_blanc\square_57.png,WK
Chess_Data\roi_blanc\square_58.png,WK
Chess_Data\roi_blanc\square_59.png,WK
Chess_Data\roi_blanc\square_60.png,WK
Chess_Data\roi_blanc\square_61.png,WK
Chess_Data\roi_blanc\square_62.png,WK
Chess_Data\roi_blanc\square_63.png,WK
Chess_Data\roi_noir\square_00.png,BK
Chess_Data\roi_noir\square_01.png,BK
Chess_Data\roi_noir\square_02.png,BK
Chess_Data\roi_noir\square_03.png,BK
Chess_Data\roi_noir\square_04.png,BK
Chess_Data\roi_noir\square_05.png,BK
Chess_Data\roi_noir\square_06.png,BK
Chess_Data\roi_noir\square_07.png,BK
Chess_Data\roi_noir\square_08.png,BK
Chess_Data\roi_noir\square_09.png,BK
Chess_Data\roi_noir\square_10.png,BK
Chess_Data\roi_noir\square_11.png,BK
Chess_Data\roi_noir\square_12.png,BK
Chess_Data\roi_noir\square_13.png,BK
Chess_Data\roi_noir\square_14.png,BK
Chess_Data\roi_noir\square_15.png,BK
Chess_Data\roi_noir\square_16.png,BK
Chess_Data\roi_noir\square_17.png,BK
Chess_Data\roi_noir\square_18.png,BK
Chess_Data\roi_noir\square_19.png,BK
Chess_Data\roi_noir\square_20.png,BK
Chess_Data\roi_noir\square_21.png,BK
Chess_Data\roi_noir\square_22.png,BK
Chess_Data\roi_noir\square_23.png,BK
Chess_Data\roi_noir\square_24.png,BK
Chess_Data\roi_noir\square_25.png,BK
Chess_Data\roi_noir\square_26.png,BK
Chess_Data\roi_noir\square_27.png,BK
Chess_Data\roi_noir\square_28.png,BK
Chess_Data\roi_noir\square_29.png,BK
Chess_Data\roi_noir\square_30.png,BK
Chess_Data\roi_noir\square_31.png,BK
Chess_Data\roi_noir\square_32.png,BK
Chess_Data\roi_noir\square_33.png,BK
Chess_Data\roi_noir\square_34.png,BK
Chess_Data\roi_noir\square_35.png,BK
Chess_Data\roi_noir\square_36.png,BK
Chess_Data\roi_noir\square_37.png,BK
Chess_Data\roi_noir\square_38.png,BK
Chess_Data\roi_noir\square_39.png,BK
Chess_Data\roi_noir\square_40.png,BK
Chess_Data\roi_noir\square_41.png,BK
Chess_Data\roi_noir\square_42.png,BK
Chess_Data\roi_noir\square_43.png,BK
Chess_Data\roi_noir\square_44.png,BK
Chess_Data\roi_noir\square_45.png,BK
Chess_Data\roi_noir\square_46.png,BK
Chess_Data\roi_noir\square_47.png,BK
Chess_Data\roi_noir\square_48.png,BK
Chess_Data\roi_noir\square_49.png,BK
Chess_Data\roi_noir\square_50.png,BK
Chess_Data\roi_noir\square_51.png,BK
Chess_Data\roi_noir\square_52.png,BK
Chess_Data\roi_noir\square_53.png,BK
Chess_Data\roi_noir\square_54.png,BK
Chess_Data\roi_noir\square_55.png,BK
Chess_Data\roi_noir\square_56.png,BK
Chess_Data\roi_noir\square_57.png,BK
Chess_Data\roi_noir\square_58.png,BK
Chess_Data\roi_noir\square_59.png,BK
Chess_Data\roi_noir\square_60.png,BK
Chess_Data\roi_noir\square_61.png,BK
Chess_Data\roi_noir\square_62.png,BK
Chess_Data\roi_noir\square_63.png,BK
Chess_Data\tour_blanc\square_00.png,WR
Chess_Data\tour_blanc\square_01.png,WR
Chess_Data\tour_blanc\square_02.png,WR
Chess_Data\tour_blanc\square_03.png,WR
Chess_Data\tour_blanc\square_04.png,WR
Chess_Data\tour_blanc\square_05.png,WR
Chess_Data\tour_blanc\square_06.png,WR
Chess_Data\tour_blanc\square_07.png,WR
Chess_Data\tour_blanc\square_08.png,WR
Chess_Data\tour_blanc\square_09.png,WR
Chess_Data\tour_blanc\square_10.png,WR
Chess_Data\tour_blanc\square_11.png,WR
Chess_Data\tour_blanc\square_12.png,WR
Chess_Data\tour_blanc\square_13.png,WR
Chess_Data\tour_blanc\square_14.png,WR
Chess_Data\tour_blanc\square_15.png,WR
Chess_Data\tour_blanc\square_16.png,WR
Chess_Data\tour_blanc\square_17.png,WR
Chess_Data\tour_blanc\square_18.png,WR
Chess_Data\tour_blanc\square_19.png,WR
Chess_Data\tour_blanc\square_20.png,WR
Chess_Data\tour_blanc\square_21.png,WR
Chess_Data\tour_blanc\square_22.png,WR
Chess_Data\tour_blanc\square_23.png,WR
Chess_Data\tour_blanc\square_24.png,WR
Chess_Data\tour_blanc\square_25.png,WR
Chess_Data\tour_blanc\square_26.png,WR
Chess_Data\tour_blanc\square_27.png,WR
Chess_Data\tour_blanc\square_28.png,WR
Chess_Data\tour_blanc\square_29.png,WR
Chess_Data\tour_blanc\square_30.png,WR
Chess_Data\tour_blanc\square_31.png,WR
Chess_Data\tour_blanc\square_32.png,WR
Chess_Data\tour_blanc\square_33.png,WR
Chess_Data\tour_blanc\square_34.png,WR
Chess_Data\tour_blanc\square_35.png,WR
Chess_Data\tour_blanc\square_36.png,WR
Chess_Data\tour_blanc\square_37.png,WR
Chess_Data\tour_blanc\square_38.png,WR
Chess_Data\tour_blanc\square_39.png,WR
Chess_Data\tour_blanc\square_40.png,WR
Chess_Data\tour_blanc\square_41.png,WR
Chess_Data\tour_blanc\square_42.png,WR
Chess_Data\tour_blanc\square_43.png,WR
Chess_Data\tour_blanc\square_44.png,WR
Chess_Data\tour_blanc\square_45.png,WR
Chess_Data\tour_blanc\square_46.png,WR
Chess_Data\tour_blanc\square_47.png,WR
Chess_Data\tour_blanc\square_48.png,WR
Chess_Data\tour_blanc\square_49.png,WR
Chess_Data\tour_blanc\square_50.png,WR
Chess_Data\tour_blanc\square_51.png,WR
Chess_Data\tour_blanc\square_52.png,WR
Chess_Data\tour_blanc\square_53.png,WR
Chess_Data\tour_blanc\square_54.png,WR
Chess_Data\tour_blanc\square_55.png,WR
Chess_Data\tour_blanc\square_56.png,WR
Chess_Data\tour_blanc\square_57.png,WR
Chess_Data\tour_blanc\square_58.png,WR
Chess_Data\tour_blanc\square_59.png,WR
Chess_Data\tour_blanc\square_60.png,WR
Chess_Data\tour_blanc\square_61.png,WR
Chess_Data\tour_blanc\square_62.png,WR
Chess_Data\tour_blanc\square_63.png,WR
Chess_Data\tour_noir\square_00.png,BR
Chess_Data\tour_noir\square_01.png,BR
Chess_Data\tour_noir\square_02.png,BR
Chess_Data\tour_noir\square_03.png,BR
Chess_Data\tour_noir\square_04.png,BR
Chess_Data\tour_noir\square_05.png,BR
Chess_Data\tour_noir\square_06.png,BR
Chess_Data\tour_noir\square_07.png,BR
Chess_Data\tour_noir\square_08.png,BR
Chess_Data\tour_noir\square_09.png,BR
Chess_Data\tour_noir\square_10.png,BR
Chess_Data\tour_noir\square_11.png,BR
Chess_Data\tour_noir\square_12.png,BR
Chess_Data\tour_noir\square_13.png,BR
Chess_Data\tour_noir\square_14.png,BR
Chess_Data\tour_noir\square_15.png,BR
Chess_Data\tour_noir\square_16.png,BR
Chess_Data\tour_noir\square_17.png,BR
Chess_Data\tour_noir\square_18.png,BR
Chess_Data\tour_noir\square_19.png,BR
Chess_Data\tour_noir\square_20.png,BR
Chess_Data\tour_noir\square_21.png,BR
Chess_Data\tour_noir\square_22.png,BR
Chess_Data\tour_noir\square_23.png,BR
Chess_Data\tour_noir\square_24.png,BR
Chess_Data\tour_noir\square_25.png,BR
Chess_Data\tour_noir\square_26.png,BR
Chess_Data\tour_noir\square_27.png,BR
Chess_Data\tour_noir\square_28.png,BR
Chess_Data\tour_noir\square_29.png,BR
Chess_Data\tour_noir\square_30.png,BR
Chess_Data\tour_noir\square_31.png,BR
Chess_Data\tour_noir\square_32.png,BR
Chess_Data\tour_noir\square_33.png,BR
Chess_Data\tour_noir\square_34.png,BR
Chess_Data\tour_noir\square_35.png,BR
Chess_Data\tour_noir\square_36.png,BR
Chess_Data\tour_noir\square_37.png,BR
Chess_Data\tour_noir\square_38.png,BR
Chess_Data\tour_noir\square_39.png,BR
Chess_Data\tour_noir\square_40.png,BR
Chess_Data\tour_noir\square_41.png,BR
Chess_Data\tour_noir\square_42.png,BR
Chess_Data\tour_noir\square_43.png,BR
Chess_Data\tour_noir\square_44.png,BR
Chess_Data\tour_noir\square_45.png,BR
Chess_Data\tour_noir\square_46.png,BR
Chess_Data\tour_noir\square_47.png,BR
Chess_Data\tour_noir\square_48.png,BR
Chess_Data\tour_noir\square_49.png,BR
Chess_Data\tour_noir\square_50.png,BR
Chess_Data\tour_noir\square_51.png,BR
Chess_Data\tour_noir\square_52.png,BR
Chess_Data\tour_noir\square_53.png,BR
Chess_Data\tour_noir\square_54.png,BR
Chess_Data\tour_noir\square_55.png,BR
Chess_Data\tour_noir\square_56.png,BR
Chess_Data\tour_noir\square_57.png,BR
Chess_Data\tour_noir\square_58.png,BR
Chess_Data\tour_noir\square_59.png,BR
Chess_Data\tour_noir\square_60.png,BR
Chess_Data\tour_noir\square_61.png,BR
Chess_Data\tour_noir\square_62.png,BR
Chess_Data\tour_noir\square_63.png,BR
